Country,Season,League,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Brazil,Serie A,2018,05/09/18,23:30,Bahia,Sport Recife,2,0,H,1.65,3.83,6.01,1.69,3.83,6.25,1.64,3.6,5.66
Brazil,Serie A,2018,05/09/18,23:30,Botafogo RJ,Cruzeiro,1,1,D,3.27,2.99,2.57,3.27,3.09,2.67,3.11,2.96,2.49
Brazil,Serie A,2018,06/09/18,00:00,Ceara,Corinthians,2,1,H,2.32,3.06,3.61,2.38,3.1,3.71,2.26,2.96,3.55
Brazil,Serie A,2018,06/09/18,01:00,Palmeiras,Atletico-PR,2,0,H,1.55,3.8,8.05,1.58,4,8.41,1.52,3.78,7.18
Brazil,Serie A,2018,06/09/18,01:00,Parana,Chapecoense-SC,1,1,D,2.49,2.91,3.49,2.52,3,3.54,2.39,2.87,3.35
Brazil,Serie A,2018,06/09/18,01:45,Atletico-MG,Sao Paulo,1,0,H,2.11,3.54,3.66,2.3,3.54,3.8,2.11,3.29,3.53
Brazil,Serie A,2018,06/09/18,01:45,Internacional,Flamengo RJ,2,1,H,2.08,3,4.59,2.13,3.15,4.59,2.04,3.03,4.11
Brazil,Serie A,2018,06/09/18,23:00,Fluminense,Vitoria,0,0,D,1.73,3.59,5.67,1.8,3.63,5.75,1.73,3.47,5.09
Brazil,Serie A,2018,06/09/18,23:00,Santos,Gremio,0,0,D,2.69,2.82,3.27,2.7,3,3.3,2.57,2.84,3.09
Brazil,Serie A,2018,07/09/18,00:00,America MG,Vasco,2,1,H,2.73,3.05,2.96,2.76,3.12,3.03,2.65,2.95,2.87
USA,MLS,2018,06/09/18,00:00,New York City,New England Revolution,0,1,A,1.58,4.58,5.59,1.61,4.7,5.6,1.56,4.46,5.11
